Player,Nation,Squad,Min,Gls,Ast,CrdY,CrdR
Antonio Adán,es ESP,Atlético Madrid,25,0,0,0,0
Aritz Aduriz,es ESP,Athletic Club,208,1,0,3,0
Lumor Agbenyenu,gh GHA,Mallorca,1.805,1,0,5,1
Martin Agirregabiria,es ESP,Alavés,2.099,1,1,5,1
Joseph Aidoo,gh GHA,Celta Vigo,2.502,0,1,4,0
Jordi Alba,es ESP,Barcelona,2.187,2,5,7,0
Raúl Albiol,es ESP,Villarreal,3.237,1,0,9,0
Paco Alcácer,es ESP,Villarreal,924,4,1,1,0
Rubén Alcaraz,es ESP,Valladolid,1.927,2,2,10,0
Álex Alegría,es ESP,Mallorca,109,0,0,0,0
Carles Aleñá,es ESP,Betis,735,1,0,1,0
Carles Aleñá,es ESP,Barcelona,172,0,0,0,0
Sergio Álvarez,es ESP,Eibar,1.147,0,0,6,0
Sergio Álvarez,es ESP,Celta Vigo,180,0,0,3,0
Yeray Álvarez,es ESP,Athletic Club,2.810,0,0,2,0
Ibrahim Amadou,fr FRA,Leganés,770,0,0,2,0
Amath,sn SEN,Getafe,66,0,0,0,0
Miguel Ángel Guerrero,es ESP,Leganés,790,1,0,0,0
Miguel Ángel Moyá,es ESP,Real Sociedad,1.170,0,0,0,0
José Ángel,es ESP,Eibar,2.360,1,1,4,0
Antoñito,es ESP,Valladolid,1.029,0,0,1,0
Vitorino Antunes,pt POR,Getafe,6,0,0,0,0
Anuar,ma MAR,Valladolid,189,0,0,1,0
Mauro Arambarri,uy URU,Getafe,3.069,1,1,11,1
Néstor Araujo,mx MEX,Celta Vigo,2.888,1,2,10,0
Ronald Araújo,uy URU,Barcelona,238,0,0,0,1
Anaitz Arbilla,es ESP,Eibar,2.007,1,0,5,0
Alphonse Areola,fr FRA,Real Madrid,360,0,0,1,0
Santiago Arias,co COL,Atlético Madrid,1.076,0,1,1,0
José Arnaiz,es ESP,Osasuna,791,2,1,2,0
José Arnaiz,es ESP,Leganés,337,0,0,2,0
Sergio Asenjo,es ESP,Villarreal,3.060,0,0,2,0
Marco Asensio,es ESP,Real Madrid,336,3,1,0,0
Iago Aspas,es ESP,Celta Vigo,3.262,14,3,9,0
Roger Assalé,ci CIV,Leganés,531,2,1,1,0
Miguel Atienza,es ESP,Eibar,30,0,0,0,0
Ezequiel Ávila,ar ARG,Osasuna,1.591,9,2,6,0
Javier Avilés,es ESP,Leganés,184,1,1,1,0
Chidozie Awaziem,ng NGA,Leganés,1.997,0,0,10,0
Ramon Azeez,ng NGA,Granada,1.361,2,0,3,0
Iddrisu Baba,gh GHA,Mallorca,2.903,0,0,6,0
Carlos Bacca,co COL,Villarreal,688,2,1,1,0
Alejandro Baena,es ESP,Villarreal,15,0,0,0,0
Gareth Bale,wal WAL,Real Madrid,1.089,2,2,4,1
